currdate,vol.pct.all,vol.pct.ma.all
8/11/2009,0.575787457,0.60462102
8/12/2009,0.607052115,0.605095352
8/13/2009,0.603829528,0.60460778
8/14/2009,0.541584495,0.593624574
8/17/2009,0.534317647,0.587679265
8/18/2009,0.60206925,0.591014399
8/19/2009,0.536541407,0.587933252
8/20/2009,0.581125561,0.586145172
8/21/2009,0.557874487,0.58366081
8/24/2009,0.515201422,0.580581027
8/25/2009,0.576334143,0.581108469
8/26/2009,0.544567666,0.579117132
8/27/2009,0.581669619,0.578335112
8/28/2009,0.507604271,0.573252587
8/31/2009,0.529046232,0.568559914
9/1/2009,0.552377085,0.565388683
9/2/2009,0.583788357,0.564669021
9/3/2009,0.558076826,0.561552656
9/4/2009,0.458065194,0.552568729
9/8/2009,0.561585147,0.555424895
9/9/2009,0.558685512,0.554569798
9/10/2009,0.596450678,0.554039726
9/11/2009,0.592365352,0.553466518
9/14/2009,0.568461864,0.554810386
9/15/2009,0.584318618,0.557310435
9/16/2009,0.604961475,0.557455046
9/17/2009,0.582678809,0.559761916
9/18/2009,0.584297357,0.559920506
9/21/2009,0.548561684,0.559454866
9/22/2009,0.566206874,0.562005138
9/23/2009,0.560671154,0.561221989
9/24/2009,0.569833945,0.562485303
9/25/2009,0.560612684,0.561432456
9/28/2009,0.4569957,0.558902027
9/29/2009,0.562390145,0.560569223
9/30/2009,0.578400257,0.561870382
10/1/2009,0.572150373,0.561288482
10/2/2009,0.584710673,0.562620175
10/5/2009,0.527413179,0.566087574
10/6/2009,0.569638507,0.566490242
10/7/2009,0.565507418,0.566831337
10/8/2009,0.600851116,0.567051359
10/9/2009,0.554485998,0.565157392
10/13/2009,0.551373176,0.564302957
10/14/2009,0.568564866,0.56351527
10/15/2009,0.525289302,0.559531661
10/16/2009,0.575565704,0.559176006
10/19/2009,0.530043291,0.556463302
10/20/2009,0.574376887,0.557754063
10/21/2009,0.555279018,0.55720767
10/22/2009,0.585776425,0.558462933
10/23/2009,0.561759199,0.558059196
10/26/2009,0.566170516,0.558337088
10/27/2009,0.593421805,0.565158393
10/28/2009,0.552023649,0.564640068
10/29/2009,0.575445206,0.564492315
10/30/2009,0.557151288,0.563742361
11/2/2009,0.556217985,0.562317727
11/3/2009,0.531830354,0.562538586
11/4/2009,0.516872748,0.559900298
11/5/2009,0.514824987,0.557366176
11/6/2009,0.545422321,0.554594736
11/9/2009,0.493283637,0.551534618
11/10/2009,0.575842102,0.552758065
11/12/2009,0.575380903,0.553098866
11/13/2009,0.584324323,0.556050617
11/16/2009,0.523722061,0.553458435
11/17/2009,0.556499049,0.554781223
11/18/2009,0.53348341,0.552736549
11/19/2009,0.52422547,0.551183872
11/20/2009,0.509035722,0.547346837
11/23/2009,0.552078721,0.546862813
11/24/2009,0.514016387,0.544255106
11/25/2009,0.475392699,0.538353651
11/27/2009,0.240507914,0.522777864
11/30/2009,0.521349088,0.520073059
12/1/2009,0.536316809,0.519031335
12/2/2009,0.495886756,0.516014773
12/3/2009,0.554744934,0.517160502
12/4/2009,0.544637643,0.518548747
12/7/2009,0.459204496,0.515767722
12/8/2009,0.53512142,0.515252677
12/9/2009,0.529841963,0.517080593
12/10/2009,0.598324262,0.518204701
12/11/2009,0.588429779,0.518857145
12/14/2009,0.47802237,0.513542048
12/15/2009,0.515807411,0.513146315
12/16/2009,0.540512466,0.512346986
12/17/2009,0.565940561,0.513969844
12/18/2009,0.520355963,0.513776368
12/21/2009,0.465242248,0.511586695
12/22/2009,0.500444792,0.509004998
12/23/2009,0.428494727,0.504728915
12/24/2009,0.415739712,0.501746266
12/29/2009,0.431312241,0.511286482
12/30/2009,0.350375326,0.502737794
1/4/2010,0.525000195,0.502171963
1/5/2010,0.55244309,0.50499978
1/6/2010,0.603828982,0.507453982
1/7/2010,0.553368116,0.507890506
1/8/2010,0.551871479,0.512523855
1/11/2010,0.552709814,0.513403275
1/12/2010,0.585754196,0.516198887
1/13/2010,0.565647527,0.51456505
1/14/2010,0.5067745,0.510482286
1/15/2010,0.513334329,0.512247884
1/19/2010,0.519567063,0.512435866
1/20/2010,0.523073215,0.511563904
1/21/2010,0.576071294,0.51207044
