currdate,cusip.pct.all,cusip.pct.ma.all,cusip.pct.exmicro,cusip.pct.ma.exmicro,cusip.pct.round,cusip.pct.ma.round
4/9/2009,0.364199923,0.448568494,0.303308824,0.384851583,0.309885932,0.343231451
4/14/2009,0.468641664,0.450512335,0.417391304,0.386703423,0.388753056,0.345255053
4/15/2009,0.450980392,0.450376439,0.383952255,0.385984023,0.374074074,0.346225423
4/16/2009,0.467391304,0.450088486,0.384467266,0.384336419,0.370512821,0.348712182
4/17/2009,0.45638262,0.450200331,0.395167022,0.383228368,0.363112392,0.348639303
4/20/2009,0.457666667,0.449231858,0.371694067,0.381761985,0.366366366,0.348864236
4/21/2009,0.495145631,0.452054713,0.419480519,0.384960697,0.377070064,0.351684682
4/22/2009,0.483974359,0.454159321,0.45015674,0.388560364,0.415690867,0.357432188
4/23/2009,0.47008,0.453054754,0.397149938,0.386514261,0.36091954,0.356994753
4/24/2009,0.454257565,0.452462025,0.396159317,0.38536812,0.395522388,0.35822436
4/27/2009,0.474129185,0.452878887,0.367493473,0.384118324,0.329004329,0.356424577
4/28/2009,0.487619676,0.456285716,0.417786308,0.386632724,0.387654321,0.360683836
4/29/2009,0.468070879,0.457547364,0.408256881,0.389543803,0.345744681,0.36234607
4/30/2009,0.48599066,0.459655116,0.392790553,0.389512198,0.343125734,0.362875997
5/1/2009,0.458073966,0.460834344,0.378420641,0.390217491,0.355305466,0.363272849
5/5/2009,0.485594043,0.462878021,0.457019171,0.393170817,0.418221734,0.365555295
5/6/2009,0.479716677,0.46408093,0.440453686,0.396221993,0.406392694,0.369062702
5/7/2009,0.477941176,0.465707034,0.426581544,0.398995438,0.362992922,0.369455339
5/8/2009,0.474898236,0.46572721,0.416895604,0.399185953,0.381389253,0.369640138
5/11/2009,0.480437666,0.467059615,0.392808684,0.40087169,0.326451613,0.368909512
5/12/2009,0.494432071,0.473571222,0.42883549,0.407148023,0.384615385,0.372645985
5/13/2009,0.491530945,0.474715686,0.428571429,0.407707029,0.39480198,0.372948431
5/14/2009,0.501646904,0.477249012,0.421733506,0.409596092,0.386649874,0.373577221
5/15/2009,0.473217453,0.477540319,0.369030391,0.408824248,0.302290076,0.370166084
5/18/2009,0.499038462,0.479673111,0.410703174,0.409601056,0.339920949,0.369006512
5/19/2009,0.524824855,0.483031021,0.447940503,0.413413378,0.377212389,0.369548813
5/20/2009,0.525371287,0.484542303,0.45890411,0.415384557,0.394931362,0.370441878
5/21/2009,0.502192982,0.485453235,0.454545455,0.415603993,0.404790419,0.369896856
5/22/2009,0.400745959,0.481986532,0.292960663,0.410394529,0.313253012,0.367513529
5/26/2009,0.526283241,0.485587816,0.41966581,0.411569854,0.356617647,0.365568292
5/27/2009,0.50627487,0.4871951,0.428900403,0.4146402,0.397814208,0.369008786
5/28/2009,0.502066773,0.487917455,0.43367656,0.415434713,0.3712036,0.36818625
5/29/2009,0.481053308,0.488566577,0.399361022,0.41498992,0.370499419,0.369423987
6/1/2009,0.476653696,0.488099729,0.348901099,0.412795447,0.369318182,0.370733609
6/2/2009,0.511414171,0.490766739,0.4252149,0.41513516,0.397826087,0.37285964
6/3/2009,0.510141364,0.491994105,0.426642112,0.413616307,0.413333333,0.37261522
