currdate,cusip.pct.all,cusip.pct.ma.all
8/11/2009,0.510608204,0.493150363
8/12/2009,0.508298172,0.492653927
8/13/2009,0.514888696,0.492190347
8/14/2009,0.470625395,0.491287158
8/17/2009,0.500862069,0.492980902
8/18/2009,0.51754386,0.494589178
8/19/2009,0.503329634,0.494377931
8/20/2009,0.502390999,0.49534567
8/21/2009,0.468104223,0.494020921
8/24/2009,0.496906637,0.495083261
8/25/2009,0.510555121,0.496115136
8/26/2009,0.498906506,0.49597217
8/27/2009,0.490571429,0.496208491
8/28/2009,0.450464396,0.495275104
8/31/2009,0.47957993,0.495255279
9/1/2009,0.467621934,0.493454303
9/2/2009,0.487338362,0.492757787
9/3/2009,0.492447991,0.492210118
9/4/2009,0.402079142,0.4883179
9/8/2009,0.461410328,0.486726651
9/9/2009,0.503448276,0.486368655
9/10/2009,0.486586985,0.485283096
9/11/2009,0.451729911,0.482125156
9/14/2009,0.453711426,0.481279458
9/15/2009,0.506676745,0.481570192
9/16/2009,0.488537952,0.480119896
9/17/2009,0.4890568,0.479406255
9/18/2009,0.497760358,0.479174723
9/21/2009,0.496038035,0.480571413
9/22/2009,0.522587016,0.481855432
9/23/2009,0.498313878,0.48124337
9/24/2009,0.484538717,0.480524981
9/25/2009,0.458412872,0.478917053
9/28/2009,0.475960171,0.480191841
9/29/2009,0.49987209,0.481206449
9/30/2009,0.503364389,0.482993572
10/1/2009,0.504,0.483826654
10/2/2009,0.467697907,0.48258915
10/5/2009,0.474434876,0.486206937
10/6/2009,0.486351114,0.487453976
10/7/2009,0.466666667,0.485614895
10/8/2009,0.489424364,0.485756764
10/9/2009,0.450708383,0.485705688
10/13/2009,0.516216885,0.488830961
10/14/2009,0.482893706,0.487641809
10/15/2009,0.474303247,0.486930074
10/16/2009,0.465044743,0.485729471
10/19/2009,0.464509111,0.484066909
10/20/2009,0.468541821,0.482692098
10/21/2009,0.478645438,0.480495019
10/22/2009,0.476354029,0.479397027
10/23/2009,0.447925487,0.477566365
10/26/2009,0.471030043,0.478197224
10/27/2009,0.49643403,0.479220917
10/28/2009,0.478329393,0.478143782
10/29/2009,0.466004184,0.476275771
10/30/2009,0.480045287,0.475078036
11/2/2009,0.45520111,0.474453196
11/3/2009,0.493478261,0.475405365
11/4/2009,0.459757739,0.474075696
11/5/2009,0.463267544,0.47390574
11/6/2009,0.448011364,0.47183509
11/9/2009,0.447339848,0.471666663
11/10/2009,0.478472578,0.469779448
11/12/2009,0.50754491,0.471012008
11/13/2009,0.448356808,0.469714686
11/16/2009,0.469275144,0.469926206
11/17/2009,0.480745943,0.470738048
11/18/2009,0.482598039,0.471440859
11/19/2009,0.475648171,0.471290996
11/20/2009,0.45480226,0.470213407
11/23/2009,0.482439024,0.471939084
11/24/2009,0.481347774,0.472454971
11/25/2009,0.378629153,0.466564727
11/27/2009,0.25390625,0.45534357
11/30/2009,0.490580069,0.456572364
12/1/2009,0.465736662,0.455856933
12/2/2009,0.468412203,0.456517487
12/3/2009,0.46242485,0.454964817
12/4/2009,0.436898543,0.453821857
12/7/2009,0.459403372,0.453628648
12/8/2009,0.459024764,0.454179318
12/9/2009,0.482566953,0.455940673
12/10/2009,0.460904322,0.455062261
12/11/2009,0.447495961,0.452059813
12/14/2009,0.459563543,0.45262015
12/15/2009,0.47582017,0.452947401
12/16/2009,0.483184128,0.453069311
12/17/2009,0.46201232,0.452040025
