currdate,vol.pct.all,vol.pct.ma.all,Short.vol.pct,Short.vol.pct.ma,YR5.vol.pct,YR5.vol.pct.ma,YR10.vol.pct,YR10.vol.pct.ma,Long.vol.pct,Long.vol.pct.ma
7/24/2013,0.453538321,0.436656712,0.47705542,0.410246771,0.401253463,0.400760117,0.482408329,0.457092813,0.471938497,0.465529405
7/25/2013,0.446007969,0.435257769,0.412404648,0.402426042,0.392498168,0.397456307,0.446137925,0.456554869,0.520082998,0.468479765
7/26/2013,0.429797598,0.433073987,0.488686297,0.401322027,0.386311051,0.394612974,0.403950426,0.451053764,0.501739544,0.471710794
7/29/2013,0.429034479,0.432680049,0.468633025,0.404964173,0.403548439,0.393851263,0.450200688,0.449784157,0.413618654,0.47146271
7/30/2013,0.432378546,0.433148015,0.401608921,0.403144837,0.416384248,0.395086011,0.436843992,0.448574739,0.465285136,0.474542172
7/31/2013,0.466389152,0.43644567,0.445793135,0.405144376,0.420835466,0.398324031,0.446766787,0.449290663,0.559629722,0.4818424
8/1/2013,0.45327668,0.437724258,0.288702752,0.402799765,0.418784284,0.397460195,0.492369941,0.450505203,0.50593101,0.486295298
8/2/2013,0.42212881,0.444976804,0.444589883,0.419420191,0.390640524,0.408390616,0.379411428,0.449877672,0.514425252,0.494419705
8/5/2013,0.374189859,0.443131483,0.369303809,0.417751597,0.348011255,0.406343029,0.380070248,0.448289829,0.407954268,0.49271324
8/6/2013,0.424317749,0.43940513,0.437740326,0.411285563,0.342745767,0.401490376,0.46568611,0.447060801,0.491237691,0.489484439
8/7/2013,0.428189244,0.438309297,0.419544406,0.411729426,0.43514481,0.401723029,0.422895387,0.444978661,0.42757217,0.487178276
8/8/2013,0.42187339,0.437222811,0.403323074,0.415279754,0.381922273,0.399329395,0.477705729,0.447105308,0.406344689,0.482273779
8/9/2013,0.376012606,0.434661688,0.353963968,0.412706448,0.337524174,0.399169713,0.394694358,0.445084475,0.423788599,0.476843399
8/12/2013,0.402071549,0.435031913,0.329212672,0.411411225,0.375020173,0.39937005,0.451269763,0.44859494,0.400542597,0.473789451
8/13/2013,0.43780476,0.43295674,0.436798748,0.412668992,0.315375142,0.389705879,0.495474492,0.450245495,0.50422638,0.474923232
8/14/2013,0.442356816,0.431980907,0.413134326,0.419868875,0.414527838,0.389877619,0.462876369,0.447624125,0.462233364,0.472648792
8/15/2013,0.423810769,0.42936669,0.252338712,0.414819046,0.394384516,0.387568166,0.444989002,0.444293056,0.471124687,0.469726613
8/16/2013,0.372352795,0.426196835,0.382036497,0.414895191,0.298332287,0.381870152,0.442712566,0.4438853,0.365646278,0.464197033
8/19/2013,0.364715834,0.423164141,0.319204362,0.403264293,0.341490796,0.382255656,0.365386143,0.440763221,0.40502007,0.459342591
8/20/2013,0.454099227,0.422717308,0.44477687,0.399442592,0.421431708,0.381808319,0.475869661,0.440885967,0.479747036,0.459904432
8/21/2013,0.417990038,0.420939894,0.431378684,0.397158756,0.384033016,0.380947297,0.455055565,0.439518329,0.408180224,0.456716518
8/22/2013,0.391931459,0.418236068,0.433484636,0.398212755,0.373800523,0.380012414,0.391581501,0.436790508,0.405832706,0.451004004
8/23/2013,0.365028547,0.414997616,0.441666544,0.395861767,0.355819156,0.37848782,0.369432681,0.43506462,0.350233468,0.4434287
8/26/2013,0.341491512,0.410620467,0.444282696,0.394644251,0.307763267,0.373698561,0.344388228,0.429773997,0.351778338,0.440336684
8/27/2013,0.423325208,0.4101678,0.494928544,0.399310232,0.376065245,0.371682611,0.441299251,0.42999676,0.424818367,0.438313346
8/28/2013,0.387940144,0.40624535,0.448517766,0.399446464,0.413950496,0.371338362,0.336055863,0.424461214,0.378602197,0.42926197
8/29/2013,0.393136578,0.403238345,0.452639482,0.4076433,0.360678489,0.368433073,0.392342758,0.419459855,0.417835574,0.424857198
8/30/2013,0.331958359,0.398729822,0.367743832,0.403800998,0.311579361,0.364480015,0.35712526,0.418345547,0.320234814,0.415147676
9/3/2013,0.44578708,0.402309683,0.503186101,0.410495112,0.374826911,0.365820797,0.453321133,0.422008091,0.508958999,0.420197912
9/4/2013,0.462617189,0.404224655,0.523160029,0.414766097,0.437071954,0.370537107,0.432452444,0.420346408,0.499062629,0.420589159
9/5/2013,0.468008607,0.406215623,0.590494683,0.423313611,0.380890263,0.367824379,0.46528218,0.422465747,0.537177327,0.426069417
9/6/2013,0.424055175,0.406324713,0.501679464,0.428231431,0.402597983,0.368858165,0.373336982,0.41724731,0.479097563,0.429707061
9/9/2013,0.401719284,0.407610046,0.424838972,0.431775181,0.392524666,0.37160819,0.369489808,0.415987082,0.445853757,0.430810319
9/10/2013,0.454826627,0.4102478,0.549457875,0.442787441,0.40171501,0.372942931,0.454792335,0.416163211,0.475730827,0.43456973
9/11/2013,0.582184528,0.417466789,0.527245094,0.447309758,0.46317332,0.38033284,0.56518925,0.419648949,0.692213118,0.443969067
9/12/2013,0.53152296,0.421925096,0.439463826,0.448626233,0.415869495,0.380399923,0.513416963,0.422175979,0.657102643,0.453712531
9/13/2013,0.497549004,0.425612008,0.54786515,0.463402555,0.363239226,0.378842659,0.436246636,0.42173886,0.651272532,0.462719923
9/16/2013,0.485119109,0.431250323,0.501310254,0.469366243,0.419859254,0.384919007,0.487654105,0.423985937,0.550965497,0.471985884
9/17/2013,0.495617183,0.437795391,0.442841323,0.475548091,0.439278792,0.389808407,0.514852242,0.431459242,0.553469156,0.479408339
9/18/2013,0.48650749,0.439415804,0.434341965,0.475026346,0.443440177,0.39090883,0.480424922,0.431687005,0.548720111,0.482856992
9/19/2013,0.459700386,0.441501321,0.453721787,0.476143501,0.423226485,0.392868504,0.46783444,0.432325949,0.491406091,0.487018286
9/20/2013,0.439288392,0.443869168,0.426459624,0.475792251,0.414576195,0.394907287,0.441347831,0.434814266,0.485947257,0.491024013
9/23/2013,0.450014379,0.44811846,0.455367845,0.476477316,0.429937971,0.398613228,0.450478131,0.438866538,0.476678531,0.497346266
9/24/2013,0.491821119,0.45563494,0.619398805,0.485233121,0.445771917,0.405513661,0.438147353,0.443554494,0.549460322,0.507230366
9/25/2013,0.46361713,0.457649536,0.462676068,0.483620497,0.430229345,0.408221866,0.494968877,0.446237976,0.467456946,0.509362294
9/26/2013,0.471602452,0.461832651,0.479396638,0.485164441,0.395586376,0.40730366,0.458156292,0.452342997,0.564782556,0.518671312
9/27/2013,0.423558973,0.463353771,0.402225455,0.482643739,0.432356028,0.410887537,0.386029023,0.45202731,0.4638681,0.520972939
9/30/2013,0.45675401,0.469593554,0.382074462,0.483360271,0.411054873,0.415861312,0.413539992,0.454848047,0.550492712,0.532485834
10/1/2013,0.419955167,0.468301958,0.419806566,0.479191294,0.412141185,0.417727026,0.40953741,0.452658861,0.441323904,0.529104079
10/2/2013,0.474334171,0.468887807,0.449519253,0.475509255,0.414117603,0.416579308,0.482185991,0.455145538,0.541313541,0.531216624
10/3/2013,0.490397614,0.470007258,0.55644487,0.473806765,0.434879236,0.419278757,0.467664184,0.455264638,0.555137788,0.532114647
10/4/2013,0.430295437,0.470319271,0.440072721,0.470726428,0.415174374,0.419907576,0.4129587,0.457245724,0.474637655,0.531891652
10/7/2013,0.357641954,0.468115404,0.360002407,0.467484599,0.301513283,0.415357007,0.373658748,0.457454171,0.425032521,0.53085059
10/8/2013,0.439946594,0.467371403,0.497415141,0.464882463,0.394274156,0.414984965,0.421214165,0.455775263,0.514045743,0.532766336
10/9/2013,0.41976729,0.459250541,0.414805878,0.459260502,0.367615275,0.410207062,0.439573788,0.44949449,0.470996841,0.521705522
10/10/2013,0.415710183,0.453459902,0.37823018,0.45619882,0.359482207,0.407387698,0.428103297,0.445228806,0.480598605,0.51288032
10/11/2013,0.422973223,0.449731113,0.368038885,0.447207506,0.378178005,0.408134637,0.441902669,0.445511608,0.470738331,0.50385361
10/15/2013,0.406081609,0.445779238,0.42853165,0.443568576,0.358279595,0.405055654,0.39006349,0.440632077,0.465883868,0.499599529
10/16/2013,0.447740273,0.443385392,0.455591386,0.444206079,0.405285645,0.403355997,0.460150442,0.437896987,0.474587332,0.495655438
10/17/2013,0.436406669,0.440880351,0.412966791,0.443137321,0.386519903,0.400509983,0.439418809,0.435846682,0.498247431,0.493131804
10/18/2013,0.386032752,0.43719697,0.305364718,0.435719467,0.380039229,0.39835062,0.369477253,0.430928822,0.436153068,0.490369152
10/21/2013,0.385293614,0.434497231,0.335839548,0.431188463,0.341960065,0.394719814,0.399035566,0.428813209,0.43759769,0.487951674
10/22/2013,0.425253125,0.433259168,0.446481807,0.430744161,0.383712768,0.392408553,0.437099989,0.428144302,0.461546703,0.487195083
10/23/2013,0.467866803,0.432061452,0.509753964,0.425261919,0.42859012,0.391549464,0.457567255,0.429115297,0.531804115,0.486312272
