currdate,vol.pct.all,vol.pct.ma.all,TOP.vol.pct,TOP.vol.pct.ma,OUT.vol.pct,OUT.vol.pct.ma
4/9/2009,0.430612083,0.488425107,0.804406718,0.749669685,0.422239869,0.451069528
4/14/2009,0.534864496,0.489892874,0.733507744,0.744546667,0.49885973,0.453107968
4/15/2009,0.521781784,0.490688972,0.762466803,0.747538746,0.457490843,0.451676418
4/16/2009,0.495762288,0.491043822,0.738382353,0.743441992,0.459072249,0.451663703
4/17/2009,0.553943511,0.4928578,0.83353296,0.745546701,0.505508988,0.454611367
4/20/2009,0.503726879,0.494675294,0.669631422,0.749217742,0.473937578,0.456066393
4/21/2009,0.5701778,0.500740228,0.84955802,0.754051446,0.509427359,0.461694623
4/22/2009,0.546617241,0.505550442,0.798848563,0.761683158,0.503043242,0.465682514
4/23/2009,0.522677038,0.50504282,0.851237329,0.766243017,0.471445336,0.465656558
4/24/2009,0.512244799,0.505009186,0.610079168,0.762151825,0.49907638,0.466224616
4/27/2009,0.465648753,0.501396541,0.767518971,0.76161733,0.433099338,0.463072788
4/28/2009,0.539801237,0.504937524,0.808977781,0.761412376,0.499475437,0.466823908
4/29/2009,0.511764499,0.50886981,0.716265186,0.758795137,0.471923273,0.470344568
4/30/2009,0.51402352,0.509934819,0.707933816,0.759252389,0.465504525,0.471215541
5/1/2009,0.504616622,0.510628696,0.856154271,0.763448584,0.455607969,0.472493029
5/5/2009,0.56290093,0.512102331,0.767065967,0.7652795,0.530807329,0.474088798
5/6/2009,0.540408434,0.515252175,0.755651261,0.765960687,0.509932736,0.476901055
5/7/2009,0.53407634,0.517362441,0.750680279,0.766078708,0.483079099,0.478411521
5/8/2009,0.51999822,0.518002366,0.785268265,0.764374846,0.477992368,0.47871107
5/11/2009,0.484959163,0.518530282,0.803235003,0.768520094,0.433351177,0.478043741
5/12/2009,0.545311083,0.524265232,0.76592674,0.766596095,0.504371902,0.482150343
5/13/2009,0.548771744,0.524960594,0.810816466,0.770461531,0.505992506,0.482506982
5/14/2009,0.527344657,0.525238738,0.735526527,0.769114517,0.479007852,0.483582832
5/15/2009,0.46472267,0.523686757,0.746857943,0.769538297,0.418477547,0.481553097
5/18/2009,0.47074222,0.519526692,0.696305879,0.762676943,0.441338406,0.478344568
5/19/2009,0.548138012,0.521747249,0.809974641,0.769694104,0.495417621,0.47941857
5/20/2009,0.567663568,0.521621538,0.778124576,0.766122432,0.519166512,0.479905528
5/21/2009,0.539141334,0.521247742,0.782518094,0.765305908,0.500222841,0.479764508
5/22/2009,0.442241154,0.517225948,0.801469124,0.762817498,0.425430764,0.477463779
5/26/2009,0.46624217,0.514925817,0.643340776,0.764480578,0.451328156,0.475076368
5/27/2009,0.5794844,0.520617599,0.819824759,0.767095868,0.509715063,0.478907154
5/28/2009,0.547821781,0.521018626,0.723797292,0.762836843,0.494248571,0.478645811
5/29/2009,0.519655378,0.52141317,0.717088261,0.762877997,0.464762035,0.478287749
6/1/2009,0.511063691,0.521265179,0.72938039,0.763950326,0.467783986,0.478401722
6/2/2009,0.544741709,0.523271433,0.756837792,0.758984502,0.492477706,0.480245209
6/3/2009,0.533649801,0.521808876,0.728125023,0.757037454,0.490312272,0.478220456
6/4/2009,0.538124174,0.521694663,0.726689912,0.755589387,0.502015705,0.477824604
6/5/2009,0.476089389,0.518795316,0.73392762,0.754751754,0.443394272,0.475840363
6/8/2009,0.478427548,0.516716782,0.786116854,0.754794184,0.426406746,0.473261082
6/9/2009,0.517694967,0.518353573,0.814366373,0.755350752,0.483994312,0.475793239
6/10/2009,0.532513354,0.517713686,0.748243483,0.754466589,0.495161293,0.475332708
6/11/2009,0.549423892,0.517746293,0.804885261,0.754170029,0.508744288,0.475470297
6/12/2009,0.491045152,0.515931318,0.79991248,0.757389327,0.456881562,0.474363983
6/15/2009,0.482155296,0.51680295,0.70275241,0.75518405,0.457200306,0.476300121
6/16/2009,0.561220992,0.521326888,0.785635872,0.75965055,0.520366732,0.480251537
6/17/2009,0.50996656,0.519418316,0.75570158,0.756936897,0.48603568,0.47978244
6/18/2009,0.520764431,0.517073359,0.771561462,0.756608741,0.480260332,0.477837131
6/19/2009,0.449053094,0.512568947,0.802848703,0.757625271,0.417495073,0.473700743
6/22/2009,0.484511021,0.51468244,0.793509274,0.757227279,0.46680379,0.475769394
6/23/2009,0.488766687,0.515808666,0.677917442,0.758956112,0.466953377,0.476550655
6/24/2009,0.503824105,0.512025651,0.776552953,0.756792522,0.472289824,0.474679393
6/25/2009,0.534884113,0.511378768,0.829687855,0.76208705,0.500956734,0.475014801
6/26/2009,0.510538338,0.510922916,0.818808136,0.767173044,0.480768203,0.47581511
6/29/2009,0.480616585,0.50940056,0.802540865,0.770831067,0.451226519,0.474987236
6/30/2009,0.499951885,0.507161069,0.731385469,0.769558451,0.457591024,0.473242902
7/1/2009,0.504001532,0.505678656,0.71973118,0.769138759,0.465893697,0.472021974
7/2/2009,0.363281299,0.496936512,0.746708033,0.770139665,0.332180568,0.463530217
7/6/2009,0.472281839,0.496746134,0.749141759,0.770900372,0.437945353,0.463257771
