currdate,cusip.pct.all,cusip.pct.ma.all,cusip.pct.exmicro,cusip.pct.ma.exmicro,cusip.pct.round,cusip.pct.ma.round
4/9/2009,0.368604651,0.413052965,0.427956989,0.457184059,0.45045045,0.477906098
4/14/2009,0.459157352,0.41564434,0.475218659,0.458616747,0.464516129,0.477167408
4/15/2009,0.430088496,0.41581612,0.478328173,0.45828222,0.482222222,0.476988746
4/16/2009,0.396475771,0.413837855,0.442546584,0.456350629,0.466950959,0.473769878
4/17/2009,0.416741674,0.414427892,0.452188006,0.456937345,0.490566038,0.476151441
4/20/2009,0.415165877,0.415278305,0.443280977,0.456601394,0.42408377,0.473175301
4/21/2009,0.436580882,0.419732621,0.480582524,0.459248941,0.531818182,0.478314065
4/22/2009,0.430018416,0.422102673,0.433021807,0.458718213,0.487922705,0.479665508
4/23/2009,0.420145191,0.421284909,0.441087613,0.4567446,0.470308789,0.47799203
4/24/2009,0.407706093,0.419007612,0.46875,0.454465405,0.48,0.473963527
4/27/2009,0.400359066,0.415956564,0.44012945,0.45058191,0.440389294,0.469301377
4/28/2009,0.480033985,0.420262942,0.519040903,0.454110291,0.551136364,0.473479817
4/29/2009,0.45045045,0.422442328,0.509722222,0.458672489,0.534351145,0.478452222
4/30/2009,0.474878444,0.424845862,0.52433936,0.461017551,0.563461538,0.481782532
5/1/2009,0.399629972,0.423793816,0.434256055,0.458820822,0.410757946,0.477789912
5/5/2009,0.442457232,0.423425328,0.496679947,0.459869841,0.52,0.479402157
5/6/2009,0.462469734,0.425775868,0.511288181,0.462337365,0.525735294,0.481741554
5/7/2009,0.446841294,0.427361385,0.479896239,0.466155185,0.506968641,0.485558194
5/8/2009,0.442455243,0.430541416,0.452743902,0.469152201,0.473233405,0.48801805
5/11/2009,0.402871622,0.429156572,0.421374046,0.466621582,0.437788018,0.485633045
5/12/2009,0.45977918,0.433715299,0.483916084,0.469419537,0.505928854,0.488406965
5/13/2009,0.442477876,0.432881325,0.473389356,0.469328071,0.479212254,0.489141771
5/14/2009,0.446503791,0.43370209,0.497757848,0.470299555,0.508403361,0.490450828
5/15/2009,0.393991416,0.433577872,0.417348609,0.469039656,0.447174447,0.489462002
5/18/2009,0.431403648,0.434310971,0.44760479,0.468810496,0.478359909,0.488851696
5/19/2009,0.453323376,0.436218846,0.470512821,0.470172088,0.482109228,0.491752969
5/20/2009,0.44379133,0.436579368,0.465053763,0.46939565,0.509164969,0.490620308
5/21/2009,0.442034405,0.437180167,0.463788301,0.470933974,0.486199575,0.490534152
5/22/2009,0.316167665,0.431981291,0.325203252,0.465139756,0.383419689,0.486189697
5/26/2009,0.440140845,0.433603029,0.458221024,0.464613308,0.492273731,0.486803383
5/27/2009,0.454675232,0.436318837,0.482352941,0.466724482,0.500956023,0.48983172
5/28/2009,0.466761973,0.435655236,0.509960159,0.466270445,0.526217228,0.488585763
5/29/2009,0.469373219,0.436601375,0.492537313,0.4654112,0.462450593,0.484990735
6/1/2009,0.468658892,0.436290397,0.511658031,0.464777133,0.518315018,0.482733409
6/2/2009,0.454736842,0.439045741,0.464460784,0.46628737,0.478899083,0.486140466
6/3/2009,0.438884918,0.438867125,0.453164557,0.4641116,0.47834275,0.484057604
6/4/2009,0.47567175,0.439527226,0.500611995,0.463577791,0.498233216,0.4826825
6/5/2009,0.405194805,0.437444901,0.43533123,0.46134954,0.433255269,0.478996831
6/8/2009,0.436763551,0.437160317,0.444121916,0.460918441,0.423245614,0.476497441
6/9/2009,0.468475073,0.440440489,0.461146497,0.462907064,0.442804428,0.476748262
6/10/2009,0.452309985,0.44006703,0.480569948,0.462739757,0.464015152,0.474652577
6/11/2009,0.470036101,0.441444941,0.451380552,0.461639317,0.47311828,0.474347878
6/12/2009,0.388843314,0.438561917,0.451510334,0.459326941,0.475247525,0.472690086
6/15/2009,0.423594616,0.440042077,0.419117647,0.459415393,0.425581395,0.471610434
6/16/2009,0.47532656,0.442238223,0.48857868,0.461464087,0.471057884,0.471245332
6/17/2009,0.469308469,0.443037477,0.487383798,0.462307636,0.481557377,0.47121774
6/18/2009,0.427066451,0.442201233,0.46031746,0.462070821,0.471816284,0.469350306
6/19/2009,0.401685393,0.440183783,0.451737452,0.461468279,0.49122807,0.46960173
6/22/2009,0.419983065,0.445374553,0.427906977,0.466603465,0.484924623,0.474676977
6/23/2009,0.451025057,0.445918763,0.454545455,0.466419686,0.478174603,0.473972021
6/24/2009,0.434542587,0.444912131,0.487430168,0.466673548,0.479079498,0.472878194
6/25/2009,0.450479233,0.444097994,0.462773723,0.464314226,0.43287037,0.468210852
6/26/2009,0.390243902,0.440141528,0.390572391,0.45921598,0.416893733,0.465933009
6/29/2009,0.393537697,0.436385469,0.415292354,0.454397696,0.448717949,0.462453155
6/30/2009,0.442700157,0.435783634,0.476446837,0.454996998,0.467120181,0.46186421
7/1/2009,0.410089504,0.434343864,0.405279503,0.452602746,0.401496259,0.458021886
7/2/2009,0.320913462,0.426605949,0.333333333,0.444238813,0.375757576,0.451898104
7/6/2009,0.388429752,0.425767696,0.401433692,0.442543936,0.38253012,0.449361846
7/7/2009,0.448885473,0.426373793,0.468232044,0.443749442,0.464444444,0.451421788
7/8/2009,0.428223844,0.424361231,0.458579882,0.443621111,0.470982143,0.452830673
7/9/2009,0.440956652,0.423793564,0.465268676,0.442856048,0.445807771,0.451920304
7/10/2009,0.429071804,0.42174535,0.423758865,0.441474963,0.436363636,0.450082572
7/13/2009,0.4562249,0.425114429,0.422018349,0.440000364,0.421621622,0.447401277
7/14/2009,0.437966102,0.425833003,0.450322581,0.441560611,0.445945946,0.448419505
