currdate,cusip.pct.all,cusip.pct.ma.all
8/11/2009,0.503157895,0.47742149
8/12/2009,0.488983653,0.479972368
8/13/2009,0.472527473,0.480366418
8/14/2009,0.449081803,0.477419439
8/17/2009,0.409507923,0.473819304
8/18/2009,0.440836941,0.47228053
8/19/2009,0.442157559,0.469527878
8/20/2009,0.445818182,0.46774218
8/21/2009,0.41221374,0.463470238
8/24/2009,0.40172956,0.460895673
8/25/2009,0.462747779,0.46008431
8/26/2009,0.428676471,0.45707882
8/27/2009,0.4267844,0.455118376
8/28/2009,0.377184913,0.449654286
8/31/2009,0.41301059,0.448055168
9/1/2009,0.483419307,0.448085922
9/2/2009,0.424130274,0.444914326
9/3/2009,0.398126464,0.44089669
9/4/2009,0.309183673,0.432267125
9/8/2009,0.444043321,0.431666096
9/9/2009,0.462962963,0.429656349
9/10/2009,0.439864865,0.42720041
9/11/2009,0.424922601,0.424820166
9/14/2009,0.416167665,0.423174459
9/15/2009,0.47218543,0.426308335
9/16/2009,0.474055093,0.427969242
9/17/2009,0.477453581,0.429734044
9/18/2009,0.468619247,0.430874097
9/21/2009,0.474452555,0.433986038
9/22/2009,0.513761468,0.439587633
9/23/2009,0.483067093,0.440603599
9/24/2009,0.485333333,0.443436442
9/25/2009,0.445285616,0.444361503
9/28/2009,0.416923077,0.446348411
9/29/2009,0.451285521,0.448262157
9/30/2009,0.502890173,0.449235701
10/1/2009,0.453580902,0.450708232
10/2/2009,0.480332829,0.45481855
10/5/2009,0.484046164,0.463561675
10/6/2009,0.514475271,0.467083272
10/7/2009,0.48875,0.468372624
10/8/2009,0.480025773,0.47038067
10/9/2009,0.476796407,0.47297436
10/13/2009,0.522081065,0.47827003
10/14/2009,0.533675799,0.481344548
10/15/2009,0.512687053,0.483276146
10/16/2009,0.493550577,0.484080996
10/19/2009,0.468243243,0.484062196
10/20/2009,0.479809976,0.484330067
10/21/2009,0.470775095,0.482180748
10/22/2009,0.409631019,0.478508945
10/23/2009,0.454806313,0.476982594
10/26/2009,0.464217859,0.477929206
10/27/2009,0.511435832,0.482654844
10/28/2009,0.476307692,0.483905952
10/29/2009,0.45719721,0.481621304
10/30/2009,0.453114305,0.481597974
11/2/2009,0.480781348,0.4816204
11/3/2009,0.430589681,0.478947576
11/4/2009,0.480314961,0.47723956
11/5/2009,0.461489899,0.475876555
11/6/2009,0.424455376,0.473098036
11/9/2009,0.455223881,0.472019409
11/10/2009,0.486318408,0.470231276
11/12/2009,0.504155125,0.468755243
11/13/2009,0.451066499,0.465674215
11/16/2009,0.467929139,0.464393143
11/17/2009,0.451689389,0.46356545
11/18/2009,0.461538462,0.462651875
11/19/2009,0.447044335,0.461465337
11/20/2009,0.402298851,0.461098728
11/23/2009,0.49737303,0.463227064
11/24/2009,0.434833431,0.461757843
11/25/2009,0.351880878,0.453780095
11/27/2009,0.215648855,0.440747153
11/30/2009,0.462789243,0.441026755
12/1/2009,0.488262911,0.442784185
12/2/2009,0.442043222,0.440847279
12/3/2009,0.449814126,0.441808501
12/4/2009,0.405894173,0.438087462
12/7/2009,0.420735786,0.436049756
12/8/2009,0.422853454,0.43596966
12/9/2009,0.42876619,0.434646775
12/10/2009,0.439252336,0.432293472
12/11/2009,0.426193922,0.428395412
12/14/2009,0.413351315,0.426509652
12/15/2009,0.459762533,0.426101322
12/16/2009,0.481434059,0.427588555
12/17/2009,0.471389646,0.428081115
12/18/2009,0.406055901,0.426031693
12/21/2009,0.386281588,0.42523083
12/22/2009,0.429698709,0.421847114
12/23/2009,0.339968153,0.41710385
12/24/2009,0.166666667,0.407843139
12/29/2009,0.345227475,0.41432207
12/30/2009,0.305709024,0.406468059
1/4/2010,0.454790823,0.404794455
1/5/2010,0.496328029,0.407508695
1/6/2010,0.459631278,0.407999553
1/7/2010,0.465131579,0.410961423
1/8/2010,0.432375613,0.411543415
1/11/2010,0.42689295,0.41174539
1/12/2010,0.480304956,0.414322328
1/13/2010,0.466709347,0.415695178
1/14/2010,0.47188106,0.417979535
1/15/2010,0.440353461,0.419329643
1/19/2010,0.435209424,0.418101987
1/20/2010,0.410086264,0.414534597
1/21/2010,0.453061224,0.413618176
1/22/2010,0.427046263,0.414667694
1/25/2010,0.434383202,0.417072775
1/26/2010,0.470410628,0.419108371
1/27/2010,0.492814371,0.426750682
1/28/2010,0.475836431,0.44220917
1/29/2010,0.448813559,0.447388474
