currdate,cusip.pct.all,cusip.pct.ma.all,Short.cusip.pct,Short.cusip.pct.ma,YR5.cusip.pct,YR5.cusip.pct.ma,YR10.cusip.pct,YR10.cusip.pct.ma,Long.cusip.pct,Long.cusip.pct.ma
3/9/2009,0.450578035,0.450433413,0.407317073,0.402092115,0.485258964,0.483269824,0.444568869,0.45223747,0.427937916,0.422798081
3/10/2009,0.45972073,0.452374998,0.416107383,0.40210944,0.499629355,0.485396576,0.456121343,0.45506746,0.428855721,0.424563833
3/11/2009,0.463997696,0.453582229,0.396551724,0.403782265,0.510008006,0.488230871,0.443930636,0.454622483,0.450630252,0.42521663
3/12/2009,0.449481481,0.453199598,0.436314363,0.406563892,0.483372003,0.487357665,0.466509988,0.454810285,0.387470998,0.423556526
3/13/2009,0.429764851,0.452289363,0.416666667,0.407000625,0.456575682,0.486047034,0.447941889,0.454853039,0.379790941,0.421754616
3/16/2009,0.453698311,0.456236529,0.406417112,0.411607194,0.493537964,0.490560166,0.447744774,0.457388426,0.424972618,0.426363505
3/17/2009,0.473150358,0.456775606,0.436464088,0.412497066,0.525382756,0.49220779,0.471719457,0.45766479,0.415028902,0.425421215
3/18/2009,0.454145729,0.457101801,0.400611621,0.411962094,0.482333607,0.492362058,0.466745843,0.458880186,0.419799499,0.425268333
3/19/2009,0.47703613,0.457440171,0.417344173,0.410268327,0.525630594,0.49303476,0.477380952,0.460057354,0.43115942,0.425169161
3/20/2009,0.438688525,0.456339696,0.387931034,0.410094172,0.47822374,0.49232994,0.444444444,0.459449387,0.394385027,0.422339393
3/23/2009,0.441882206,0.455842257,0.389684814,0.409529513,0.48376353,0.491898056,0.431095406,0.458209198,0.413580247,0.422325128
3/24/2009,0.492171344,0.456540635,0.42816092,0.410026585,0.539246468,0.493914767,0.499431172,0.459713526,0.442307692,0.420090512
3/25/2009,0.466112138,0.455911625,0.445402299,0.407765869,0.515789474,0.494370907,0.473004695,0.459406602,0.392108508,0.418034883
3/26/2009,0.46579194,0.457234255,0.424332344,0.409667418,0.487886383,0.495804023,0.507009346,0.461521775,0.406905055,0.418016286
3/27/2009,0.419483101,0.455772711,0.450909091,0.412401552,0.447161572,0.493995435,0.427860697,0.460306114,0.360201511,0.415051038
3/30/2009,0.442837929,0.455590167,0.4375,0.415387663,0.468886941,0.493980066,0.453517588,0.459602941,0.391910739,0.413453682
