currdate,cusip.pct.all,cusip.pct.ma.all,Short.cusip.pct,Short.cusip.pct.ma,YR5.cusip.pct,YR5.cusip.pct.ma,YR10.cusip.pct,YR10.cusip.pct.ma,Long.cusip.pct,Long.cusip.pct.ma
3/9/2009,0.421328671,0.419240982,0.466666667,0.417101703,0.439429929,0.426534546,0.419811321,0.447141313,0.32885906,0.322287029
3/10/2009,0.439252336,0.42160278,0.459459459,0.421857622,0.486486486,0.430127163,0.435406699,0.448970299,0.305389222,0.320527505
3/11/2009,0.451818182,0.422222535,0.467625899,0.426438917,0.481840194,0.431525906,0.463659148,0.44708659,0.322147651,0.322246398
3/12/2009,0.413407821,0.422230158,0.438848921,0.429119068,0.444174757,0.433212255,0.423376623,0.445661838,0.268115942,0.31885532
3/13/2009,0.407329843,0.421436608,0.379310345,0.425862363,0.423398329,0.432931555,0.436950147,0.445287123,0.316546763,0.318144197
3/16/2009,0.426652893,0.425931017,0.373913043,0.427576883,0.4393531,0.439414135,0.464387464,0.450245627,0.335877863,0.317832827
3/17/2009,0.436041083,0.42862738,0.434108527,0.430710881,0.464547677,0.443104244,0.443569554,0.452087713,0.342105263,0.319703715
3/18/2009,0.404940924,0.427240763,0.363636364,0.425532043,0.42519685,0.442068572,0.441087613,0.451487938,0.275,0.318012538
3/19/2009,0.398157625,0.426311206,0.355932203,0.423487383,0.416879795,0.439276198,0.424501425,0.452958241,0.299145299,0.316181482
3/20/2009,0.347494553,0.423798928,0.321100917,0.423455473,0.337988827,0.434034877,0.422155689,0.454254705,0.188034188,0.308466074
3/23/2009,0.382617383,0.422929797,0.365079365,0.418351777,0.403100775,0.434484822,0.411267606,0.453878999,0.263157895,0.306730352
3/24/2009,0.43650047,0.421962028,0.376146789,0.415505573,0.42280285,0.43173219,0.478481013,0.45327924,0.405797101,0.312094834
3/25/2009,0.453252033,0.422937308,0.387387387,0.414310426,0.492424242,0.434462855,0.491891892,0.454737587,0.242990654,0.306333919
3/26/2009,0.461380021,0.423516555,0.354545455,0.411779078,0.489949749,0.435755214,0.476584022,0.453780464,0.41,0.311287701
3/27/2009,0.39390642,0.422178473,0.336538462,0.405465505,0.434316354,0.437232937,0.407738095,0.450921755,0.264150943,0.309537983
3/30/2009,0.406862745,0.422007497,0.362318841,0.40077443,0.454068241,0.44104746,0.407713499,0.448684951,0.31884058,0.307622869
3/31/2009,0.42680776,0.421554163,0.4,0.398643282,0.485781991,0.443708653,0.413636364,0.444950881,0.313868613,0.309612596
4/1/2009,0.420670898,0.420874745,0.426573427,0.400592109,0.440594059,0.441814911,0.433497537,0.443528645,0.326666667,0.311801192
4/2/2009,0.44982699,0.421186,0.511450382,0.403307485,0.45,0.442339602,0.473557692,0.443264731,0.32885906,0.311198691
4/3/2009,0.415458937,0.419685379,0.441860465,0.401125146,0.42280285,0.442756853,0.456090652,0.441268203,0.257575758,0.305656426
4/6/2009,0.415130941,0.419375493,0.381355932,0.396859609,0.411904762,0.441380595,0.43977591,0.442266432,0.389705882,0.308698767
4/7/2009,0.378854626,0.416355607,0.4,0.393886636,0.377828054,0.435947673,0.4025,0.440621097,0.312138728,0.309036243
4/8/2009,0.4305685,0.415293123,0.355555556,0.388283119,0.432762836,0.433493805,0.468253968,0.440850838,0.397350993,0.31279641
4/9/2009,0.368604651,0.413052965,0.375,0.385090673,0.346041056,0.42858712,0.4,0.439682007,0.348214286,0.316801327
4/14/2009,0.459157352,0.41564434,0.547945205,0.393522416,0.459276018,0.430381004,0.462264151,0.440947707,0.364238411,0.319185909
4/15/2009,0.430088496,0.41581612,0.419354839,0.395794506,0.416289593,0.429227829,0.496202532,0.442538461,0.319526627,0.318368347
4/16/2009,0.396475771,0.413837855,0.515384615,0.39985831,0.397752809,0.425888086,0.410757946,0.44089788,0.251655629,0.313845866
4/17/2009,0.416741674,0.414427892,0.456,0.404476492,0.413394919,0.425297989,0.455242967,0.441605648,0.302469136,0.315219323
4/20/2009,0.415165877,0.415278305,0.4,0.406679882,0.376237624,0.423265881,0.466836735,0.443722413,0.395522388,0.320038177
4/21/2009,0.436580882,0.419732621,0.362204724,0.408735072,0.46713615,0.429723247,0.488311688,0.447030213,0.28,0.324636468
4/22/2009,0.430018416,0.422102673,0.475806452,0.414271426,0.401408451,0.42963863,0.47146402,0.450040034,0.353383459,0.329147746
4/23/2009,0.420145191,0.421284909,0.488,0.419864087,0.409610984,0.428979037,0.45994832,0.449113399,0.294117647,0.323563773
4/24/2009,0.407706093,0.419007612,0.430656934,0.422027564,0.396514161,0.424183533,0.441176471,0.446577628,0.335616438,0.328195062
4/27/2009,0.400359066,0.415956564,0.417322835,0.425166433,0.415048544,0.420438473,0.405867971,0.443041826,0.337349398,0.324562532
